Country,Pct_Renewable,Renewable GWh,Hydro,Wind,Solar,Biofuel,Geoth
Guyana,0.09,0.0,0.0,0.02,0.07,0.0,2023
Bahrain,0.09,0.0,0.0,0.09,0.0,0.0,2023
Barbados,0.09,0.0,0.0,0.09,0.0,0.0,2023
Seychelles,0.09,0.0,0.01,0.08,0.0,0.0,2023
Somalia,0.08,0.0,0.01,0.07,0.0,0.0,2023
Djibouti,0.07,0.0,0.07,0.0,0.0,0.0,2023
Maldives,0.06,0.0,0.0,0.06,0.0,0.0,2023
Eritrea,0.05,0.0,0.0,0.05,0.0,0.0,2023
South Sudan,0.04,0.0,0.0,0.04,0.0,0.0,2023
Benin,0.03,0.0,0.0,0.03,0.0,0.0,2023
Antigua and Barbuda,0.02,0.0,0.0,0.02,0.0,0.0,2023
Bahamas,0.02,0.0,0.0,0.02,0.0,0.0,2023
Cayman Islands,0.02,0.0,0.0,0.02,0.0,0.0,2023
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,2023
